date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
02/01/2020 06:45,1.32496,1.32208,1.32208,1.32181,1.32519,1.3221,1.3221,1.32197,69
02/01/2020 07:00,1.32208,1.32245,1.32278,1.32155,1.3221,1.32264,1.32294,1.3217,4317
02/01/2020 07:15,1.32245,1.32199,1.32289,1.32142,1.32264,1.32212,1.32304,1.32157,2867
02/01/2020 07:30,1.32199,1.32206,1.32228,1.32091,1.32212,1.32221,1.32245,1.32105,5135
02/01/2020 07:45,1.32206,1.32191,1.32259,1.32165,1.32221,1.32205,1.32274,1.32181,2497
02/01/2020 08:00,1.32191,1.3211,1.3226,1.32103,1.32205,1.3213,1.32277,1.32117,5616
02/01/2020 08:15,1.3211,1.32113,1.32242,1.32085,1.3213,1.32131,1.3226,1.321,4397
02/01/2020 08:30,1.32113,1.32164,1.32214,1.32111,1.32131,1.32178,1.32226,1.32126,2772
02/01/2020 08:45,1.32164,1.32209,1.323,1.32164,1.32178,1.32227,1.32316,1.32179,5815
02/01/2020 09:00,1.32209,1.3218,1.32264,1.32162,1.32227,1.32195,1.32281,1.32176,2644
02/01/2020 09:15,1.3218,1.32195,1.32241,1.32174,1.32195,1.32217,1.32257,1.3219,1821
02/01/2020 09:30,1.32195,1.32194,1.3223,1.32164,1.32217,1.32206,1.32247,1.32179,2936
02/01/2020 09:45,1.32194,1.32138,1.32199,1.32094,1.32206,1.32152,1.32211,1.32108,3030
02/01/2020 10:00,1.32138,1.32121,1.32144,1.32081,1.32152,1.32136,1.32159,1.32096,3114
02/01/2020 10:15,1.32121,1.32056,1.32139,1.32045,1.32136,1.3207,1.32151,1.3206,3282
02/01/2020 10:30,1.32056,1.32099,1.32137,1.32054,1.3207,1.32114,1.32152,1.32069,2697
02/01/2020 10:45,1.32099,1.32105,1.32127,1.32074,1.32114,1.32122,1.32141,1.32089,1853
02/01/2020 11:00,1.32105,1.32034,1.3211,1.32,1.32122,1.32049,1.32125,1.32016,2903
02/01/2020 11:15,1.32034,1.31944,1.32046,1.31904,1.32049,1.31961,1.32062,1.3192,3893
02/01/2020 11:30,1.31944,1.31941,1.31989,1.31882,1.31961,1.31958,1.32005,1.31895,4543
02/01/2020 11:45,1.31941,1.31989,1.32008,1.31913,1.31958,1.32002,1.32023,1.31931,2890
02/01/2020 12:00,1.31989,1.32087,1.32093,1.31945,1.32002,1.32105,1.32113,1.31958,3750
02/01/2020 12:15,1.32087,1.32092,1.32122,1.32043,1.32105,1.32105,1.32137,1.32058,3466
02/01/2020 12:30,1.32092,1.32016,1.32111,1.32016,1.32105,1.32033,1.32128,1.3203,2215
